Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (min),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,,,,
,,,,,,,,,,,,24,23,,29.2,,,,,,
,,,,,,,,,,,,25,24,,28.3,,,,,,
,,,,,,,,,,,,26,25,,,,,,,,
,,,,,,,,,,,,27,26,,,,,,,,
,,,,,,,,,,,,28,27,,,,,,,,
,,,,,,,,,,,,29,28,,,,,,,,
,,,,,,,,,,,,30,29,,,,,,,,
,,,,,,,,,,,,31,30,,,,,,,,
,,,,,,,,,,,,32,31,,,,,,,,
,,,,,,,,,,,,33,32,,,,,,,,
,,,,,,,,,,,,34,33,,,,,,,,
,,,,,,,,,,,,35,34,,,,,,,,
,,,,,,,,,,,,36,1,,,,,,,,
,,,,,,,,,,,,37,2,,,,,,,,
,,,,,,,,,,,,38,3,,,,,,,,
,,,,,,,,,,,,39,4,,,,,,,,
,,,,,,,,,,,,40,5,,,,,,,,
,,,,,,,,,,,,41,1,,,,,,,,
,,,,,,,,,,,,42,6,,,,,,,,
,,,,,,,,,,,,43,7,,,,,,,,
,,,,,,,,,,,,44,8,,,,,,,,
,,,,,,,,,,,,45,9,,,,,,,,
,,,,,,,,,,,,46,10,,,,,,,,
,,,,,,,,,,,,47,11,,,,,,,,
,,,,,,,,,,,,48,12,,,,,,,,
,,,,,,,,,,,,49,13,,,,,,,,
,,,,,,,,,,,,50,14,,,,,,,,
,,,,,,,,,,,,51,15,,,,,,,,
,,,,,,,,,,,,52,16,,,,,,,,
,,,,,,,,,,,,53,17,,,,,,,,
,,,,,,,,,,,,54,18,,,,,,,,
,,,,,,,,,,,,55,19,,,,,,,,
,,,,,,,,,,,,56,20,,,,,,,,
,,,,,,,,,,,,57,21,,,,,,,,
,,,,,,,,,,,,58,22,,,,,,,,
,,,,,,,,,,,,59,23,,,,,,,,
,,,,,,,,,,,,60,24,,,,,,,,
,,,,,,,,,,,,61,25,,,,,,,,
,,,,,,,,,,,,62,26,,,,,,,,
,,,,,,,,,,,,63,27,,,,,,,,
,,,,,,,,,,,,64,28,,,,,,,,
,,,,,,,,,,,,65,29,,,,,,,,
,,,,,,,,,,,,66,30,,,,failed injection,,,,
,,,,,,,,,,,,67,31,,,,,,,,
,,,,,,,,,,,,68,32,,,,,,,,
,,,,,,,,,,,,69,33,,,,,,,,
,,,,,,,,,,,,70,34,,,,failed injection,,,,
,,,,,,,,,,,,71,1,,,,,,,,
,,,,,,,,,,,,72,2,,,,,,,,
,,,,,,,,,,,,73,3,,,,,,,,
,,,,,,,,,,,,74,4,,,,,,,,
,,,,,,,,,,,,75,5,,,,,,,,
,,,,,,,,,,,,76,1,,,,,,,,
