objective: analyze difference in enhanced recovery as well as coating surface area,,,,,,,,,,,,,,,,,,,,N2,340,,,
Tube,substrate,Volume to add in mL,total liquid volume,Media type,reaction time (h),Formulation,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,Treatment after,,,H2,O2,N2,CO,CO2,,Scaled CO,average,,,
N,3MM,4,4.4,1YCM,4,1,40,400,20,50,200rpm for 1 min,,N,14260,,537,371,328,,234.8975791,,,,
O,3MM,4,4.1,1YCM,4,1,20,100,5,50,200rpm for 1 min,,O,12075,,375,924,119,,837.76,767.1443945,,,
P,3MM,4,4.1,1YCM,4,1,20,100,5,50,200rpm for 1 min,,P,12628,,389,849,156,,742.0565553,,,,
Q,3MM,4,4.1,1YCM,4,1,20,100,5,50,200rpm for 1 min,,Q,11698,,433,919,113,,721.6166282,,,,
,total,48,,,,,total for product,3500,,,,,,,,,,,,,,,,
NOTES:,   ,,,,,,,Formulations ,,,,,,,,,,,,,,,,
Started at 855am,,,,,,,,cells,media,total,,,,,,,,,,,,,,
20mL rinse,,,,,,,,#1 OTA1,0.3,,,,,,,,,,,,,,,
"After the spin after the rinse, the media turned pink",,,,,,,,1120,2613.333333,3733.333333,,,,,,,,,,,,,,
"after coating, none of the media in the tubes turned pink",,,,,,,,,,,,,,,,,,,,,,,,
into shaker at 1130am,,,,,,,,,,,,,line,tube,,ethanol,ACETATE,,,,,,,
"M, N sampled at 155pm",,,,,,,,,,,,,1,1,H2O,47.6,,,,,,,,
everything else out at 330pm. This might have been a little late and there was little CO left,,,,,,,,,,,,,2,2,std1,407.9,15,,,,,,,
,,,,,,,,,,,,,3,3,std2,115.5,130.7,,,,,,,
,,,,,,,,,,,,,4,4,std3,34.3,237.7,,,,,,,
,,,,,,,,,,,,,5,5,1YCM,19.1,,,,,,,,
,,,,,,,,,,,,,6,1,H2O,18.1,,,,,,,,
,,,,,,,,,,,,,7,6,A,35.1,113.7,,,,,,,
,,,,,,,,,,,,,8,7,B,35.5,116,,suspended,114.1,1.734935157,,,
,,,,,,,,,,,,,9,8,C,37.4,112.6,,BC ,119,21.70414707,,,
,,,,,,,,,,,,,10,9,D,31.4,124.1,,BC rocked,160.9666667,14.71269293,,,
,,,,,,,,,,,,,11,10,E,30.7,95.2,,BC shaken,159.4,26.40056818,,,
,,,,,,,,,,,,,12,11,F,33.2,137.7,,,,,,,
,,,,,,,,,,,,,13,12,G,36.1,168.7,,,,,,,
,,,,,,,,,,,,,14,13,H,35.4,170.2,,,,,,,
,,,,,,,,,,,,,15,14,I,35.5,144,,,,,,,
,,,,,,,,,,,,,16,15,J,36.9,159.2,,,,,,,
,,,,,,,,,,,,,17,16,K,39.5,185.9,,,,,,,
,,,,,,,,,,,,,18,17,L,37.9,133.1,,,,,,,
,,,,,,,,,,,,,19,18,M,45.5,204.8,,,,,,,
,,,,,,,,,,,,,20,19,N,48.3,173,,,,,,,
,,,,,,,,,,,,,21,20,O,35.4,63.1,,,,,,,
,,,,,,,,,,,,,22,21,P,42.1,101.8,,,,,,,
,,,,,,,,,,,,,23,22,Q,38.3,69.7,,,,,,,
,,,,,,,,,,,,,24,23,0h1,36.6,7.5,,,,,,,
,,,,,,,,,,,,,25,1,H2O,33,,,,,,,,
,,,,,,,,,,,,,26,2,std1,414.1,14.8,,,,,,,
,,,,,,,,,,,,,27,3,std2,127.4,129.7,,,,,,,
,,,,,,,,,,,,,28,4,std3,45.8,234.5,,,,,,,
,,,,,,,,,,,,,29,5,1YCM,28.2,,,,,,,,
,,,,,,,,,,,,,30,1,H2O,29,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
