purpose: to see why we are getting slower uptake of CO than previously comparing different growth media and 1YCM to see if salt solution messed everything up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,MD,602hh ,4,4.12,1YCM (PCG 10/01/15) xtra cys,,60 min @ 25in Hg,11,4,10,120,10,50,,K,11947,,323,1121,70,1180,,,12498.8,0,338.7,886.3,148.6,889.701801,,,,,,,,,,,,
L,MD,602hh ,4,4.12,1YCM (PCG 10/01/15) xtra cys,,60 min @ 25in Hg,flush,4,10,120,10,50,,L,12074,,337,1050,92,1059.347181,,,12923.8,0,371.5,630.9,237.2,577.4051144,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Total for 3MM,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,Total for 602hh,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
only use black caps for everything!!!,,,,,,,,,,,Formulations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The rinse step will all be with xtra cys,,,,,,,,,,,cells,media,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tubes C,F,I, & K flushed w/ argon for 2 minutes",,,,,,,,,,,#1 ,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other tubes were place in larger 1L bottles and those bottles were flushed for 10minutes each with argon.,,,,,,,,,,using 1YCM w/ Na2S xtra cys(PCG 10/01/15),200,466.6666667,666.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All tubes placed in anaerobic chamber at 1:30.,,,,,,,,,,,#2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1YCM (PCG 10/01/15) xtra cys,200,466.6666667,666.6666667,,,,,,,,,,,,,,,,,904.9817961,,,,,,,,,,,
,,,,,,,,,,,#3,0.5,,,,,,,,,,,,,,,,,,1172.668584,,,,,,,,,,,
Rehydration on 10/19,,,,,,,,,,using 1YCM Na2S & xtra cys(PCG 10/01/15),200,200,400,,,,,,,,,,,,,,,,,1161.603078,,,,,,,,,,,
"Tubes A,B,C and G,H,I were rehydrated w/ 4mL of 1YCM with xtra cys and Na2S",,,,,,,,,,,#4,0.5,,,,,,,,,,,,,,,,,,955.6616976,,,,,,,,,,,
"Tubes D,E,F and J,K,L were rehydrated w/ 4mL of 1YCM with xtra cys",,,,,,,,,,1YCM (PCG 10/01/15) xtra cys,200,200,400,,,,,,,,,,,,,,,,,901.3953488,,,,,,,,,,,
All tubes flushed with syngas for 2min at 10psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.586207,,,,,,,,,,,
All tubes placed in shaker at 2pm. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.5775742,,,,,,,,,,,
"The humidity sensors that were placed in conditions similar to the samples above returned expected results. The drierite and flushed conditions showed no change in humidity, while the LiCl sensor appeared slightly pinker.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.2506266,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1703168,,,,,,,,,,,
Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.1216931,,,,,,,,,,,
**Note: after the first assay the tubes were stored such that some papers were submerged under the media affecting the CO uptake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.701801,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.4051144,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
