Sample #,Tube,Formulation,Storage RH,trehalose in tube,notes,Fabrication order,flushing order,flushing location,,H2,O2,N2,CO,CO2,Scaled CO,,AVG,N2 Base,,H2,O2,N2,CO,CO2,Scaled CO
25,Y,5,11,.02+.02g fructose,no second spin 37C,1,1,chem hood,,11505,,309,1233,38,1356.699029,,,,,,,,,,
26,Z,5,11,.02+.02g fructose,no second spin 37C,2,1,chem hood,,11295,,309,1232,30,1355.598706,,,,,,,,,,
27,AA,5,11,.02+.02g fructose,no second spin 37C,3,1,chem hood,,11342,,306,1208,36,1342.222222,,,,,,,,,,
28,BB,1,33,0,,17,1,,,11798,,316,1148,54,1235.189873,,,,,,,,,,
29,CC,1,33,0,,27,2,,,12864,,357,717,212,682.8571429,,,,,,,,,,
30,DD,1,33,0,,28,2,,,11871,,320,1135,59,1205.9375,,,,,,,,,,
31,EE,3,33,0.02,,18,1,,,12416,,335,892,169,905.3134328,,,,,,,,,,
32,FF,3,33,0.02,,29,2,,,12443,,334,863,173,878.502994,,,,,,,,,,
33,GG,3,33,0.02,,30,2,,,11634,,317,1133,70,1215.205047,,,,,,,,,,
,,,,,,,42,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,cell fraction,0.3,,,,,,,,,,,,,,,,,,,,,,
,,Formulations,Cells,media,total,,,,,,,,,,,,,,,,,,,,
,,#1 ,OTA1,0g trehalose,,,,,,,,,,,,,,,,,,,,,
,,volume (uL),800,1866.666667,2666.666667,,933.3333333,,,,,,,,,,,,,,,,,,
,,#2,OTA1,.01g trehalose/mL,,,,,,,,,,,,,,,,,,,,,
,,volume (uL),200,466.6666667,666.6666667,,,,,,,,,,,,,,,,,,,,
,,#3,OTA1,.02 g trehalose/mL,,,,,0.02,g/mL,200,,,,,,,,,,,,,,
,,volume (uL),800,1866.666667,2666.666667,,,,0.0093334,g,140,,,,,,,,,,,,,,
,,#4,OTA1,"2X cells, .02g trehalose",,,,,0.014000093,g/mL,326.7, uL to add,,,,,,,,,,,,,
,,volume (uL),400,266.6666667,666.6666667,,,,,,,,,,,,,,,,,,,,
,,#5,OTA1,".02g trehalose, .02g fructose",,,,,,,0.028568717,g/mL,,,,,,,,,,,,,
,,volume (uL),200,466.6666667,666.6666667,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.700066428,mL,,,,,,,,,,,,,
,,,1800,total volume,6000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0093334,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Drying Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,
25 minutes drying for everything using 21G green needles at 20psi,,,,,,,,,,,,,,,,,,,,,,,,,
6.4pH (0.2N NaOH),,,,,,,,,,,,,,,,,,,,,,,,,
started first spin at 1030 using 3'A-F PCG mRCMf 2/8/16,,,,,,,,,,,,,,,,,,,,,,,,,
I accidentally put 140uL of cells into the tube #5 without,,,,,,,,,,,,,,,,,,,,,,,,,
"Y, Z, AA into incubator at 1155am",,,,,,,,,,,,,,,,,,,,,,,,,
"After 2nd centrifuge, cells are notably more sticky to the inside of pipette tip",,,,,,,,,,,,,,,,,,,,,,,,,
Dropped formulation #4 due to lack of cells,,,,,,,,,,,,,,,,,,,,,,,,,
"Concern with accuracy of pipette volumes (tip not attached fully) on formulations 1,2&5. Correction started on making of formulation 3.",,,,,,,,,,,,,,,,,,,,,,,,,
made three and then capped,,,,,,,,,,,,,,,,,,,,,,,,,
Finished first flush at 2:05 pm,,,,,,,,,,,,,,,,,,,,,,,,,
bottles for humidity control will filled with open tubes after convective drying and then moved out of anaerobic chamber and flushed for 10 min with 23G needles at 20psi,,,,,,,,,,,,,,,,,,,,,,,,,
Everything done and into the anerobic chamber in the dark at 345pm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rehydration 2/22,,,,,,,,,,,,,,,,,,,,,,,,,
50mL for 1,,,,,,,,,,,,,,,,,,,,,,,,,
50mL w/ 1g trehalose for 3,,,,,,,,,,,,,,,,,,,,,,,,,
50mL w/ 0.5g trehalose for 2,,,,,,,,,,,,,,,,,,,,,,,,,
"25mL w/ 0.5g trehalose, 0.5g fructose for 5",,,,,,,,,,,,,,,,,,,,,,,,,
Flushing done with green needles at 20 psi of syngas for 2 minutes.,,,,,,,,,,,,,,,,,,,,,,,,,
Placed in shaker at 1:52 PM at 50 rpm and 37C. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Assaying 2/23,,,,,,,,,,,,,,,,,,,,,,,,,
"Tubes A-L removed from shaker at 9:42 AM, sampled at approximately 9:47 AM, and returned to shaker at 9:52 AM. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Tubes M-AA removed from shaker at 11:10 AM, sampled at approximately 11:15 AM, and returned to shaker at 11:20 AM.",,,,,,,,,,,,,,,,,,,,,,,,,
Q was not injected correctly; scratched the run and resampled at 11:52 AM.,,,,,,,,,,,,,,,,,,,,,,,,,
"Tubes BB-GG removed from shaker at 12:20 PM, sampled at approximately 12:22 PM, and returned to shaker at 12:25 PM.",,,,,,,,,,,,,,,,,,,,,,,,,
Syringe H had oxygen leaks both times it was used; may need to be tightened. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
