Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,RH Storage,Formulation,Drying Time,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,
N,MN,602h,4,4.12,11,4,60,10,120,10,50,,12155.6,0,331.5,912.5,131.7,935.8974359,,13196.8,0,363.2,596.4,254.5,558.3039648,,
O,MN,602h,4,4.12,11,4,90,10,120,10,50,,12138.2,0,347.1,795.9,185.6,779.6197061,,12896.3,0,401.5,504.8,290.5,427.4769614,,
P,MN,602h,4,4.12,11,4,90,10,120,10,50,,12562.2,0,362.6,765.8,175.3,718.0694981,,12817.4,0,474.1,386.5,315.6,277.1778106,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,total,1920,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,958.5956284,,
,,,,,,,Formulations,,,,,,,,,,,,,,,,,,695.484225,,
Drying Notes,,,,,,1mL 1YCM ,#1 ,0.5,,,,,,,,,,,,,,,,,774.3518519,,
Bottles 3'A-D transferred to oak ridge tube ,,,,,,,400,400,800,,,,,,,,,,,,,,,,439.5757731,,
"Oak ridge tube centrifuged in Becman at 9:45am at 4C, 5000rpm and for 15min.",,,,,,1mL 1YCM + .02 g/mL trehalose,#2,0.5,,,,,,,,,,,,,,,,,930.9383995,,
Cell pellet rinsed with 20mL of 1YCM and transferred to smaller oak ridge tube,,,,,,,400,400,800,,,,,,,,,,,,,,,,585.2929954,,
Tube centrifuged in rotana at10:10 for 15min at 4C and 6000rcf.,,,,,,1mL 1YCM + 0.05,#3,0.5,,,,,,,,,,,,,,,,,649.6395912,,
Coatings placed in vacuum chamber at 12:05 ,,,,,,,400,400,800,,,,,,,,,,,,,,,,649.6395912,,
removed coatings from vacuum chamber in batches per experimental design,,,,,,1mL 1YCM + 0.1,#4,0.5,,,,,,,,,,,,,,,,,1065.743986,,
All coatings placed in large bottles with 11% RH,,,,,,,400,400,800,,,,,,,,,,,,,,,,1040.377585,,
All large bottles flushed with argon at 20psi for 10 minutes,,,,,,,,,,,,,,,,,,,,,,,,,827.573616,,
"Bottles placed in anaerobic chamber at 2""40",,,,,,,,,,,,,,,,,,,,,,,,,763.0277306,,
The humidity sensor placed in the 90 min drying time bottle was from the stock of sensors and all those sensors had already turned pin at the 10% level. ,,,,,,,,,,,,,,,,,,,,,,,,,461.8719667,,
,,,,,,,,,,,,,,,,,,,,,,,,,558.3039648,,
Rehydration 11/16,,,,,,,,,,,,,,,,,,,,,,,,,427.4769614,,
Rehydrated all tubes with 4mL of 1YCM (PCG 10/29/15),,,,,,,,,,,,,,,,,,,,,,,,,277.1778106,,
All tubes flushed with syngas for 2 minutes at 10psi,,,,,,,,,,,,,,,,,,,,,,,,,,,
All tubes placed in shaker at 2:22pm. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/15 out of shaker at 2:22 pm. all back into shaker at 250pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
