Tube,Notch placement (temp column.),substrate,Volume to add in mL,total liquid volume,Reducing Agent Added,RH Storage,Formulation,Drying Time,substrate size (cm^2),coating volume (uL), coated surface area (cm^2),shaker speed,,,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,Sampling 2,H2,O2,N2,CO,CO2,Scaled CO,N2 Base,,,,,,,,,,,
Coatings placed in vacuum chamber at 11:30.,,,,,,,,,RINSE (0.5),350,350,700,,,,,,,,,,,,,,,,,517.7652259,,,,,,,,,,,
Tubes placed in respective RH bottles.,,,,,,,,,,#2,0.5,,,,,,,,,,,,,,,,,,220.4698545,,,,,,,,,,,
All bottles were flushed with argon at 10psi for 10 minutes,,,,,,,,,2mL,230,230,460,,,,,,,,,,,,,,,,,613.372005,,,,,,,,,,,
,,,,,,,,,,#3,0.5,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,
Rehydration:,,,,,,,,,4mL,230,230,460,,,,,,,,,,,,,,,,,241.7407687,,,,,,,,,,,
"**Note the RINSE 1YCM turned pink even before rehydrating the tubes, but changed back to neutral after being flushed with syngas.",,,,,,,,,,#3,0.5,,,,,,,,,,,,,,,,,,494.7063197,,,,,,,,,,,
Tubes A-E rehydrated with 4mL of RINSE ,,,,,,,,,6mL,290,290,580,,,,,,,,,,,,,,,,,447.4458874,,,,,,,,,,,
"Tubes F,G,H rehydrated w/ 4mL of 2mL media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0711772,,,,,,,,,,,
"Tubes I,J,K rehydrated w/ 4mL of 4mL media",,,,,,,,,total cells,1100,,,,,,,,,,,,,,,,,,,779.9894875,,,,,,,,,,,
Tubes L-O rehydated with 4mL of 4mL media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.6806391,,,,,,,,,,,
All tubes flushed with syngas for 2min at 10psi. ,,,,,,,"                             RH Left to Right: 0% , 11% , 29%  ",,,,,,,,,,,,,,,,,,,,,,878.7241379,,,,,,,,,,,
All tubes placed in shaker at 2:25 at 50rpm & 37C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.816535,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.5584281,,,,,,,,,,,
Sampling: 11/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227.198786,,,,,,,,,,,
Samples taken from tubes A-L at 2:25 PM on 11/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.011562,,,,,,,,,,,
Samples taken from tubes M-O at 3:00 PM on 11/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All tubes returned to shaker between and after samples were taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling 11/4/15 Samples taken from tubes at 8:35am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tubes L,M,N,and O showed discoloration of the coating on the cell side of the paper. The cells seemed to have begun to turn black. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH Measurements: 11/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH was measured of some of the tubes to test if the reducing agent was causing variance in pH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,4.62,Good pH range; samples made with 1mL CYS; these had highest reactivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,4.55,** Keep in mind -- aceatic acid production would cause pH to decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,6.01,"Cells reduced with 1mL CYS Na2S also had decent reactivity, but higher pH; Na2S raises the pH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,6.65, pH of 2mL CYS Na2S samples is high; cells had lowest reactivity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
